column0
大学
大学
病院
病院
だれ
だれ
どなた
どなた
~歳
~歳
何歳
何歳
おいくつ
おいくつ
はい
はい
いいえ
いいえ
初めまして。
初めまして。
~から来ました。
~から来ました。
どうぞよろしくお願いします。
どうぞよろしくお願いします。
失礼ですが
失礼ですが
お名前は?
お名前は?
こちらは~さんです。
こちらは~さんです。
アメリカ
アメリカ
イギリス
イギリス
インド
インド
インドネシア
インドネシア
韓国
韓国
中国
中国
日本
日本
タイ
タイ
ドイツ
ドイツ
フランス
フランス
これ
これ
それ
それ
あれ
あれ
この~
この~
その~
その~
あの~
あの~
本
本
辞書
辞書
雑誌
雑誌
新聞
新聞
ノート
ノート
手帳
手帳
名刺
名刺
カード
カード
鉛筆
鉛筆
ボールペン
ボールペン
シャープペンシル
シャープペンシル
かぎ
かぎ
時計
時計
傘
傘
かばん
かばん
CD
CD
テレビ
テレビ
ラジオ
ラジオ
カメラ
カメラ
コンピューター
コンピューター
車
車
机
机
いす
いす
チョコレート
チョコレート
コーヒー
コーヒー
お土産
お土産
英語
英語
日本語
日本語
~語
~語
何
何
そう
そう
あのう
あのう
えっ
えっ
どうぞ。
どうぞ。
どうもありがとうごさいます。
どうもありがとうごさいます。
そうですか。
そうですか。
違います
違います
あ
あ
これからお世話になります。
これからお世話になります。
こちらこそどうぞよろしくお願いします。
こちらこそどうぞよろしくお願いします。
ここ
ここ
そこ
そこ
あそこ
あそこ
どこ
どこ
こちら
こちら
そちら
そちら
あちら
あちら
どちら
どちら
教室
教室
食堂
食堂
事務所
事務所
会議室
会議室
受付
受付
ロビー
ロビー
部屋
部屋
トイレ
トイレ
お手洗い
お手洗い
階段
階段
エレベーター
エレベーター
エスカレーター
エスカレーター
自動販売機
自動販売機
電話
電話
お国
お国
会社
会社
うち
うち
靴
靴
ネクタイ
ネクタイ
ワイン
ワイン
売り場
売り場
地下
地下
~階
~階
何階
何階
円
円
いくら
いくら
百
百
千
千
万
万
すみません。
すみません。
どうも。
どうも。
いらっしゃいませ
いらっしゃいませ
~お見せてください。
~お見せてください。
じゃ
じゃ
~おください。
~おください。
イタリア
イタリア
スイス
スイス
フランス
フランス
ジャカルタ
ジャカルタ
バンコク
バンコク
ベルリン
ベルリン
起きます
起きます
寝ます
寝ます
働きます
働きます
休みます
休みます
勉強します
勉強します
デパート
デパート
銀行
銀行
郵便局
郵便局
図書館
図書館
美術館
美術館
今
今
~時
~時
~分
~分
半
半
何時
何時
何分
何分
午前
午前
午後
午後
朝
朝
昼
昼
